index,about_name,about_readlink,image_url,image_width,image_height,provider_type,provider_name,category,name,date_published,description,url
19,Apple Inc.,https://api.cognitive.microsoft.com/api/v5/entities/6fa57c29-e813-4a1d-7fba-3541ca4c1dc3,https://www.bing.com/th?id=ON.ECD9D830DDCAE3DA11D151133C60E84F&pid=News,700,266,Organization,ZDNet,ScienceAndTechnology,"Apple releases iOS 10.2 for iPhones, iPads. Here's what's new",2016-12-12T23:20:00,"Apple has released iOS 10.2 for iPhone, iPad, and iPod touch devices. This is the second major update for iOS 10 since it was released back in October. Along with all the new features and fixes documented below, this update is also expected to contain ...",http://www.zdnet.com/article/apple-releases-ios-10-2-heres-whats-new/
20,Microsoft,https://api.cognitive.microsoft.com/api/v5/entities/a093e9b9-90f5-a3d5-c4b8-5855e1b01f85,https://www.bing.com/th?id=ON.919D25BF33967F6178F2D735159BEAA2&pid=News,610,343,Organization,blogs.microsoft.com,ScienceAndTechnology,Find out how AvePoint integrates Microsoft Power BI Embedded into their applications,2016-12-12T23:20:00,"AvePoint helps more than 15,000 companies worldwide accelerate their journey to the cloud, and on the Microsoft Power BI Blog, Paul Olenick, director of product strategy at AvePoint, answers questions about AvePoint\u2019s integration of Power BI Embedded ...",https://blogs.microsoft.com/firehose/2016/12/12/find-out-how-avepoint-integrates-microsoft-power-bi-embedded-into-their-applications/
21,HTC,https://api.cognitive.microsoft.com/api/v5/entities/6c0ebf0e-f5c5-df31-43c4-d1b7beea8e56,https://www.bing.com/th?id=ON.FDFCD819174858C96D6BC564C3833DA8&pid=News,700,467,Organization,PC World,Technology,Sony's PlayStation VR tops HTC Vive in headset shipment battle,2016-12-12T21:51:00,"Sony's PlayStation VR headset works with multiple versions of PlayStation 4 gaming consoles. Virtual reality is emerging as a computing category just like PCs and mobile devices, and VR headset shipments are booming. As Sony's PlayStation VR beat out the ...",http://www.pcworld.com/article/3149163/virtual-reality/sonys-playstation-vr-tops-htc-vive-in-headset-shipment-battle.html
22,Shopping,https://api.cognitive.microsoft.com/api/v5/entities/3bb769af-e1d5-a2f6-da84-5214a7b83e45,https://www.bing.com/th?id=ON.2C414B199A58161E4E0F418D6D30E43C&pid=News,700,390,Organization,Forbes,ScienceAndTechnology,AI 'Elves' From IBM Watson Could Help With Your Festive Shopping,2016-12-12T23:37:00,"Artificial intelligence is getting a kickstart for the holiday season with an elf-themed chatbot launching at Mall of America. Visitors to the shopping center in Bloomington, MN, are guided through a series of questions from E.L.F to understand things like ...",http://www.forbes.com/sites/rachelarthur/2016/12/12/ai-elves-from-ibm-watson-could-help-with-your-festive-shopping/
23,Donald Trump,https://api.cognitive.microsoft.com/api/v5/entities/1a466af2-ed23-25bd-794d-1ca925e4681b,https://www.bing.com/th?id=ON.9A0BC65D8FCF5F8A435783D0A738CE49&pid=News,700,460,Organization,Los Angeles Times,Technology,Trump's attacks on free speech and the open Internet send a huge web archive fleeing to Canada,2016-12-12T22:59:00,Popular interest in fleeing to Canada after the election of Donald Trump may have ebbed since a surge of inquiries crashed Canada\u2019s immigration website on election night. But one Internet advocate and entrepreneur is still treating the idea seriously ...,http://www.latimes.com/business/hiltzik/la-fi-hiltzik-trump-archive-canada-20161212-story.html
24,iPad,https://api.cognitive.microsoft.com/api/v5/entities/9f5500d5-a48c-dc47-2c90-f8cc8558d9d2,https://www.bing.com/th?id=ON.2F07B38A2455AC9B72B121C99605847C&pid=News,640,427,Organization,Digital Trends,ScienceAndTechnology,"Apple launches iOS 10.2, featuring new TV app and Music app UI tweaks",2016-12-12T23:58:00,"Apple\u2019s latest and greatest mobile software is finally here. After a lengthy beta period, iOS 10.2 has been distributed over the air to supported iPhone, iPad, and iPod devices, bringing with it a number of changes. Perhaps the biggest is the addition of ...",http://www.digitaltrends.com/mobile/apple-ios-10-2-news-1481572618-2/
25,Microsoft,https://api.cognitive.microsoft.com/api/v5/entities/a093e9b9-90f5-a3d5-c4b8-5855e1b01f85,https://www.bing.com/th?id=ON.AF320ED45E850AD83538B2F2F88BC8EA&pid=News,700,429,Organization,bloomberg.com,Technology,Microsoft Starts New Venture Fund With Investment in Bengio's Element AI,2016-12-12T23:01:00,"Microsoft Corp.'s venture arm started an artificial intelligence-focused fund, kicking it off with an investment in a startup by a luminary in the field. Element AI, a Montreal-based research lab started by Yoshua Bengio and others, will get an ...",https://www.bloomberg.com/news/articles/2016-12-12/microsoft-starts-new-venture-fund-with-investment-in-bengio-s-element-ai
26,Qualcomm,https://api.cognitive.microsoft.com/api/v5/entities/a5d482fa-2e60-df06-37fe-cc12bc63003a,https://www.bing.com/th?id=ON.17FCFA332F026BA00DD4ECFEF97E5AEE&pid=News,700,415,Organization,Computer World,ScienceAndTechnology,Qualcomm awakens and hopes to crush Intel at its own game,2016-12-12T22:47:00,"Qualcomm's Centriq 2400 server chip has 48 CPU cores. Last Wednesday was historic for Qualcomm. In one day, the company jumped beyond its comfort zone of mobile chips and entered the PC and server markets. With the expansion, Qualcomm now has chips for ...",http://www.computerworld.com/article/3149095/computer-processors/qualcomm-awakens-and-hopes-to-crush-intel-at-its-own-game.html
27,Apple Inc.,https://api.cognitive.microsoft.com/api/v5/entities/6fa57c29-e813-4a1d-7fba-3541ca4c1dc3,https://www.bing.com/th?id=ON.B2B40EC10E21DC39C7532A6077C9ADA2&pid=News,670,503,Organization,CNet,ScienceAndTechnology,Apple may invest in SoftBank's $100 billion tech fund,2016-12-12T22:37:00,"Apple may be considering an investment in a tech fund from Japan's SoftBank Group, which is hoping to raise $100 billion. That would make it one of the world's biggest tech funds. If Apple signs on, the fund would count the world's most valuable company ...",https://www.cnet.com/uk/news/apple-softbank-100-billion-tech-fund/
28,Apple Inc.,https://api.cognitive.microsoft.com/api/v5/entities/6fa57c29-e813-4a1d-7fba-3541ca4c1dc3,https://www.bing.com/th?id=ON.750E4D3B1CDC3A5276C3D64CBD5CC6D6&pid=News,660,334,Organization,Apple Insider,Technology,"Apple first went public 36 years ago today: now up 18,492 percent",2016-12-12T22:08:00,"On December 12, 1980, Apple Computer Inc. went public in an Initial Public Offering that sold 4.6 million shares at $22 each, generating more capital than any other IPO since Ford Motor Company in 1956 and instantly creating 300 millionaires. By the end of ...",http://appleinsider.com/articles/16/12/12/apple-first-went-public-36-years-ago-today-now-up-18492-percent
29,Plant,https://api.cognitive.microsoft.com/api/v5/entities/8be7f17a-00bd-f6c2-f94b-41e5384c5619,https://www.bing.com/th?id=ON.134EF95C80CD6A38CE3BDA046BD31080&pid=News,700,350,Organization,Seeker,Technology,Cryogenic Energy Plant Will Put Renewable Power on Ice Until Needed,2016-12-12T22:55:00,"The world's largest cryogenic energy facility is being built in the U.K. to store renewable energy and help power a city. I am standing outside on wet concrete in the virtual tour, craning my neck to see the top of a towering white insulated storage tank ...",http://www.seeker.com/cryogenic-energy-plant-puts-excess-power-on-ice-until-needed-2143604014.html
30,Bill Maris,https://api.cognitive.microsoft.com/api/v5/entities/e8d7be81-f4d6-4c2a-b7dc-08e4299fe094,https://www.bing.com/th?id=ON.AEE05143345CFA94ED2D0D8BD7893EC2&pid=News,700,393,Organization,Recode,Technology,Former Google Ventures CEO Bill Maris has decided not to go ahead with a new $230 million health care fund,2016-12-12T18:50:00,"Bill Maris, who founded Google Ventures and left as its CEO earlier this year, was in the midst of raising a new fund of just over $230 million focused on health care, but it\u2019s not happening. When I pinged Maris to see where this effort stood today, he ...",http://www.recode.net/2016/12/9/13901306/ceo-bill-maris-not-doing-230-million-health-care-fund
31,Purchase,https://api.cognitive.microsoft.com/api/v5/entities/0e3e855d-b83e-78e2-17fd-5780a44c2203,https://www.bing.com/th?id=ON.9530796ACDA8B6DE441562A1BBB67C1C&pid=News,700,394,Organization,PC Magazine,ScienceAndTechnology,Microsoft Will Let You Try the Surface Hub for 30 Days Before Making a Purchase,2016-12-12T23:03:00,"Microsoft also introduced a 'Try and Buy' program, which lets customers test the device for 30 days before buying. For companies interested in purchasing a Surface Hub, Microsoft has introduced a ""Try and Buy"" program which allows resellers to let ...",http://www.pcmag.com/news/350249/microsoft-surface-hub-sales-top-100-000
32,Windows Server,https://api.cognitive.microsoft.com/api/v5/entities/7ea9413f-4389-e259-f2b9-6da832342fe0,https://www.bing.com/th?id=ON.7A73B9271F5ECD6B8922DEB8127F4B80&pid=News,620,413,Organization,Network World,Technology,Microsoft extends the lifecycle of Windows Server and SQL Server,2016-12-12T22:04:00,"In recent years, Microsoft has made enormous efforts to get people to migrate off products that had reached their end of life. In 2014, it was Windows XP. In 2015, it was Windows Server 2003. This year it was SQL Server 2005. So, knowing what the company ...",http://www.networkworld.com/article/3149496/servers/microsoft-extends-the-lifecycle-of-windows-server-and-sql-server.html
33,Sexual assault,https://api.cognitive.microsoft.com/api/v5/entities/b44c6435-dd6e-3d4b-e9d4-6592ef233451,https://www.bing.com/th?id=ON.5A9CE5F879A14DDFBA0878D38F205DBB&pid=News,700,393,Organization,CNN,ScienceAndTechnology,Navy tests out phone app to prevent sexual assault,2016-12-12T22:13:00,"Washington (CNN)The US Navy is testing the effectiveness of a smartphone app in an attempt to curb military sexual assaults. The app, LiveSafe, is designed to ""help sailors with prevention by providing a one-stop shop for all of their needs,"" Navy Capt.",http://www.cnn.com/2016/12/12/politics/military-sexual-assault-app-livesafe/index.html
34,Bill Gates,https://api.cognitive.microsoft.com/api/v5/entities/0d47c987-0042-5576-15e8-97af601614fa,https://www.bing.com/th?id=ON.EF48351DBACD93E375241FFF8DDC8359&pid=News,300,225,Organization,IT World,ScienceAndTechnology,"Gates, Bezos, others launch energy tech VC fund",2016-12-12T21:39:00,"Microsoft founder Bill Gates, Amazon.com CEO Jeff Bezos, and SoftBank CEO Masayoshi Son are investors in a new clean energy technology venture firm launched Monday. Breakthrough Energy Ventures, a US$1 billion venture capital fund, will focus on ""next ...",http://www.itworld.com/article/3149566/techology-business/gates-bezos-others-launch-energy-tech-vc-fund.html
35,Microsoft,https://api.cognitive.microsoft.com/api/v5/entities/a093e9b9-90f5-a3d5-c4b8-5855e1b01f85,https://www.bing.com/th?id=ON.26AC5476F1E1DEB47B152DA6572D487F&pid=News,700,456,Organization,Infoworld,Technology,Microsoft pulls KB article 3201845 for Windows 10 14393.479,2016-12-12T22:15:00,"This past week has seen a bizarre turn of events for those who are using the most recent version of Windows 10, the Anniversary Update, version 1607. On Friday, Dec. 9, Microsoft released a cumulative update for version 1607. As I described last Friday ...",http://www.infoworld.com/article/3149590/microsoft-windows/microsoft-pulls-kb-article-3201845-for-windows-10-14393479.html
36,VMware,https://api.cognitive.microsoft.com/api/v5/entities/99683f36-b094-0f62-01af-7b014cecc455,https://www.bing.com/th?id=ON.D32272755C7F3D519BE0D6044A2C1DF3&pid=News,640,434,Organization,Forbes,Technology,How Amadeus Leveraged The Cloud And VMware To Help The Travel Industry,2016-12-12T22:36:00,"Travelers want to spend the least possible when making arrangements, and they\u2019re increasingly relying on apps and websites to hold down costs. It\u2019s a high-pressure job to keep those digital services functioning at peak performance at a reasonable cost ...",http://www.forbes.com/sites/vmware/2016/12/12/how-amadeus-leveraged-the-cloud-and-vmware-to-help-the-travel-industry/
37,NULL,NULL,https://www.bing.com/th?id=ON.7C8BBD55444335C3A14B73F69E82E134&pid=News,620,413,Organization,Computer World,ScienceAndTechnology,"2016's top 10 tech stories: Post-PC, post-reality",2016-12-12T23:47:00,"Evolution inevitably involves the creation of new problems, and the big tech stories of the year show that this goes for IT just like anything else. While the internet has brought the world closer together, it also paved the way for fake news and new ...",http://computerworld.com/article/3149591/security/2016s-top-10-tech-stories-post-pc-post-reality.html
38,High tech,https://api.cognitive.microsoft.com/api/v5/entities/327e9eae-b672-6c53-7522-1850dbaf2917,https://www.bing.com/th?id=ON.4B7D29FE7972917EFBDBA9C141520C98&pid=News,700,393,Organization,Geek Wire,ScienceAndTechnology,Take that! Amazon Go high-tech grocery concept is stolen for new parody video \u2018Anything Goes\u2019,2016-12-12T20:30:00,It was an idea that was too good not to steal. The new super-convenient convenience store concept Amazon Go is the subject of a new parody video which reveals a competitor to Amazon\u2019s \u201ccheckout-free shopping experience.\u201d It\u2019s called Anything Goes ...,http://www.geekwire.com/2016/take-amazon-go-high-tech-grocery-concept-stolen-new-parody-video-anything-goes/
39,Microsoft,https://api.cognitive.microsoft.com/api/v5/entities/a093e9b9-90f5-a3d5-c4b8-5855e1b01f85,https://www.bing.com/th?id=ON.E1DF6CC743CEF3CD03C7FE57C010486E&pid=News,580,363,Organization,IT World,ScienceAndTechnology,Microsoft Ventures launches AI-focused fund,2016-12-12T21:45:00,"Microsoft Ventures has launched an artificial intelligence investment fund, signaling its parent company's growing focus on the emerging technology. The VC arm of Microsoft has also funded Element AI, an incubator to help organizations embrace an AI ...",http://www.itworld.com/article/3149157/techology-business/microsoft-ventures-launches-ai-focused-fund.html
40,NULL,NULL,https://www.bing.com/th?id=ON.8CC7642383F6943BAE41107CA6DEDC34&pid=News,700,466,Organization,New York Times,Technology,Designing a Safer Battery for Smartphones (That Won\u2019t Catch Fire),2016-12-12T22:14:00,SAN FRANCISCO \u2014 Mike Zimmerman likes to shock his guests by using a hammer to drive a nail through a solid polymer lithium metal battery. Nothing happens \u2014 and that\u2019s a good thing. Mr. Zimmerman\u2019s battery is a new spin on lithium-ion batteries ...,http://www.nytimes.com/2016/12/11/technology/designing-a-safer-battery-for-smartphones-that-wont-catch-fire.html
41,NULL,NULL,https://www.bing.com/th?id=ON.D458714686DEA453A075862F76875E37&pid=News,320,180,Organization,Quartz,ScienceAndTechnology,Facebook is seeking a head of news partnerships who remembers what life was like before Facebook,2016-12-12T19:35:00,Facebook is looking for a head of news partnerships to oversee its tumultuous relationship with the media. The company has posted a job opening for an \u201cexperienced news executive\u201d to manage its partnerships with news organizations around the world.,http://qz.com/860870/facebook-is-hiring-a-head-of-news-partnerships-to-manage-its-relationships-with-the-media/
42,Satya Nadella,https://api.cognitive.microsoft.com/api/v5/entities/e23e51ed-d16f-4800-9a31-ed056168b9a2,https://www.bing.com/th?id=ON.488889655857686D919941BE0CFDCDD8&pid=News,700,345,Organization,Geek Wire,Technology,Jeff Bezos and Satya Nadella among tech leaders reportedly set to meet with Donald Trump this week,2016-12-12T19:32:00,"A who\u2019s who of tech leaders are reportedly heading to New York City to meet with president-elect Donald Trump Wednesday. The list, first reported by Recode, with additions from other outlets, includes Amazon CEO Jeff Bezos; Microsoft CEO Satya Nadella ...",http://www.geekwire.com/2016/tech-execs-jeff-bezos-satya-nadella-and-others-reportedly-set-to-meet-with-donald-trump/
43,Security,https://api.cognitive.microsoft.com/api/v5/entities/9aa1a3a4-ba73-ea52-d6bf-e5578afd68a9,https://www.bing.com/th?id=ON.2B885A210C5D3FD2835856313170C0C2&pid=News,290,195,Organization,eWeek,ScienceAndTechnology,Cisco Security Business Group Continues to Accelerate Growth,2016-12-12T21:57:00,"Former OpenDNS founder and CEO David Ulevitch, named Security Business Group Leader at Cisco as the networking giant aims to make sure the market knows they are a big player in security too. While Cisco is well-known as a leader in the networking industry ...",http://www.eweek.com/security/cisco-security-business-group-continues-to-accelerate-growth.html
44,HBO,https://api.cognitive.microsoft.com/api/v5/entities/07e44347-7b20-b101-fac5-54444757f1aa,https://www.bing.com/th?id=ON.1C1BE04A2B7FDA37DCE570CA5DDDE641&pid=News,230,135,Organization,BGR,Technology,Netflix and HBO launch virtual reality apps on Google Play,2016-12-12T21:38:00,"Over the past week, Netflix and HBO have each launched virtual reality apps for Android on the Google Play store. Netflix VR was only available the Oculus Store before this week, but now that Google\u2019s Daydream headset has launched, Netflix opted to bring ...",http://bgr.com/2016/12/12/netflix-hbo-vr-android-apps/
45,Run,https://api.cognitive.microsoft.com/api/v5/entities/9058ac1c-65c1-c1ed-1a7d-3fb7ed7edfb6,https://www.bing.com/th?id=ON.7747B4C8B6DF2FADF94F4B15E511ECE2&pid=News,700,393,Organization,MSN,ScienceAndTechnology,Super Mario Run is online-only to combat piracy,2016-12-12T23:51:00,"The company's gaming chief Shigeru Miyamoto, in an interview with Mashable, explained the online-only requirement was intended to combat piracy. ""For us, we view our software as being a very important asset for us. And also for consumers who are purchasing ...",http://www.msn.com/en-us/news/technology/super-mario-run-is-online-only-to-combat-piracy/ar-AAllZej
46,NULL,NULL,https://www.bing.com/th?id=ON.EB3141710EB47A89C4B1EADEF15A6F13&pid=News,700,437,Organization,Engadget,ScienceAndTechnology,Facebook adds a 'fake news' reporting option (updated),2016-12-12T18:23:00,"Facebook has been getting dragged hard since November 8th -- and rightfully so -- given the unprecedented amount of shitposts and fake news that dominated the social site in the months leading up to the election. After his initial defense of ""nuh-uh, wasn ...",https://www.engadget.com/2016/12/11/facebook-adds-a-fake-news-reporting-option/
